Title;DOI
Deforestation for agriculture increases microbial carbon use efficiency in subarctic soils;10.1007/s00374-022-01669-2
Habitat-specific responses of soil organic matter decomposition to Spartina alterniflora invasion along China’s coast;10.1002/eap.2741
Carbon sequestration in soils and climate change mitigation - Definitions and pitfalls;10.1111/gcb.16983
Framing future trajectories of human activities in the German North Sea to inform cumulative effects assessments and marine spatial planning;10.1016/j.jenvman.2023.119507
Soil depth gradients of organic carbon-13 - A review on drivers and processes;10.1007/s11104-023-06328-5
Carbon storage in old hedgerows: The importance of below-ground biomass;10.1111/gcbb.13112
Farm typologies for understanding farm systems and improving agricultural policy;10.1016/j.agsy.2023.103800
Livestock grazing and biodiversity: Effects on CO2 exchange in semi-arid Karoo ecosystems, South Africa;10.1016/j.scitotenv.2023.168517
Umweltkontamination : Müll in deutschen Meeresgebieten;10.3220/CA1701080947000
Priorities for the sustainability criteria of biomass supply chains for energy;10.1016/j.jclepro.2023.140075
Genome editing in forest trees;10.1007/978-3-031-46150-7_20
Phasing out palm and soy oil biodiesel in the EU: What is the benefit?;10.1111/gcbb.13115
Scoping review of carbon pricing systems in forest sector models;10.1088/1748-9326/ad101d
EU agriculture under an import stop for food and feed;10.1111/twec.13537
The role of non-resident family ties in rural staying;10.1002/psp.2708
Neuverteilung von Verantwortung? Brandschutzerziehung als Strategie zur Zukunftssicherung Freiwilliger Feuerwehren;10.14512/rur.1701
Evaluation of nitrogen balances and nitrogen use efficiencies on farm level of the German agricultural sector;10.1016/j.agsy.2023.103796
Differences on the level of hepatic transcriptome between two flatfish species in response to liver cancer and environmental pollution levels;10.1016/j.cbpc.2023.109781
Positioning earthworms in the future foods debate: a systematic review of earthworm nutritional composition in comparison to edible insects;10.1163/23524588-20230163
"Assessing the potential of Other Effective area-based Conservation Measures (OECMs) for contributing to conservation targets: A global scoping review protocol [version 3; peer review: 2 approved, 1 approved with reservations]";10.12688/openreseurope.16116.3
Harmonization and variation of deadwood density and carbon concentration in different stages of decay of the most important Central European tree species;10.1007/s10342-023-01618-0
Co-location of fisheries and offshore wind farms: Current practices and enabling conditions in the North Sea;10.1016/j.marpol.2023.105941
Management practices influence biocontrol potential of generalist predators in maize cropping systems;10.1111/eea.13395
Reproductive biology of the electric lanternfish Electrona risso (Myctophidae) and the bigscale fishes Melamphaes polylepis and Scopelogadus mizolepis (Melamphaidae);10.1111/jfb.15575
Dieter Eckstein's bibliography and legacy of connection to wood biology and tree-ring science;10.1016/j.dendro.2024.126165
Legacy effects of earthworms on soil microbial abundance, diversity, and community dynamics;10.1016/j.soilbio.2023.109294
Referenzdaten aus dem Projekt FNEWs [Datenpublikation];10.3220/DATA20240111153336-0
Waldbrände und die Rolle militärischer Altlasten auf Wald- und Sukzessionsflächen in Brandenburg;10.3220/PB1705315598000
Forest fires and the role of military contaminated sites on forest and succession areas in Brandenburg;10.3220/PB1705316426000
A universal tool for marine metazoan species identification: towards best practices in proteomic fingerprinting;10.1038/s41598-024-51235-z
"Second workshop on stock identification and allocation of catches of herring to stocks (WKSIDAC2; outputs from 2023 meeting)";10.17895/ices.pub.24998747
Bewertung der biologischen Vielfalt von Aalen in Tansania (BIOEELS);10.3220/PB1705398049000
Assessing the biodiversity of eels of Tanzania - Promoting sustainable fisheries through environmental monitoring and capacity building (BIOEELS);10.3220/PB1705398344000
Complete replacement of fish meal with potential aquafeed ingredients for rainbow trout in Iran;10.4194/TRJFAS24254
Incomplete milking before drying off does not impair the udder health of cows infected with minor pathogens;10.1017/S0022029923000699
Scientific Technical and Economic Committee for Fisheries (STECF) - Assessment of balance indicators for key fleet segments and review of national reports on Member States efforts to achieve balance between fleet capacity and fishing opportunities (STECF-23-13);10.2760/958072
Accumulating valuable work experience: the importance of large firms and big cities [Preprint];10.2139/ssrn.4698829
Trimming the plate: A comprehensive case study on effective food waste reduction strategies in corporate canteens;10.3390/su16020785
Analysing evolutionary growth regimes of regional economies and transformative shocks: Proposal for a regression-based counterfactual simulation approach to local inter-industry structural change;10.1016/j.strueco.2024.01.003
German yield and area data for 11 crops from 1979 to 2021 at a harmonized spatial resolution of 397 districts;10.1038/s41597-024-02951-8
AGRUM-DE als gemeinsames Instrument der Land- und Wasserwirtschaft für die bundesweite Nährstoffmodellierung;10.5675/HyWa_2024.1_1
Identifying fit-for purpose methods for monitoring fish communities;10.3389/fmars.2023.1322367
CarboCheck - praxisnahe App für das Management von Bodenkohlenstoff in der Landwirtschaft;10.3220/PB1706168299000
Coupled earth system and human processes: An introduction to SPACES and the book;10.1007/978-3-031-10948-5_1
A fine line between carbon source and sink: Potential CO2 sequestration through sustainable grazing management in the Nama-Karoo;10.1007/978-3-031-10948-5_17
Research infrastructures as anchor points for long-term environmental observation;10.1007/978-3-031-10948-5_30
Synthesis and outlook on future research and scientific education in Southern Africa;10.1007/978-3-031-10948-5_32
„Forschungswerkstätten“ im Ackerbau;10.3220/PB1708342127000
“Research workshops“ for sustainable arable farming;10.3220/PB1708342449000
Effective population size of adult and offspring cohorts as a genetic monitoring tool in two stand-forming and wind-pollinated tree species: Fagus sylvatica L. and Picea abies (L.) Karst.;10.1007/s10592-024-01600-2
Evaluation and optimisation of the soil carbon turnover routine in the MONICA model (version 3.3.1);10.5194/gmd-17-1349-2024
Short-term carbon cycling at a Sphagnum farming site under drought stress;10.1016/j.soilbio.2024.109346
Ausweitung von Waldschutzgebieten in Europa gefährdet die Biodiversität global;10.3220/PB1708672364000
Expansion of forest protection areas in Europe endangers biodiversity globally;10.3220/PB1708672725000
Trophic lengthening triggered by filamentous, N2-fixing cyanobacteria disrupts pelagic but not benthic food webs in a large estuarine ecosystem;10.1002/ece3.11048
Emissionsreduktionen durch ökosystembasierte Ansätze;10.1007/978-3-662-66696-8_34
Agricultural technology as a driver of sustainable intensification: insights from the diffusion and focus of patents;10.1007/s13593-024-00949-5
Die temperaturausgleichende Wirkung von Waldbeständen am Beispiel der Intensivmonitoringfläche Britz;10.3220/PB1708930735000
Temperature damping effects of forests at the Intensive Forest Monitoring Station Britz;10.3220/PB1708931341000
Stress indicators in dairy cows adapting to virtual fencing;10.1093/jas/skae024
Datenmanagementplan : ein Teil der guten wissenschaftlichen Praxis [Präsentation];10.3220/MX1708411467000
Potential and risks of water reuse in Brandenburg (Germany) - an interdisciplinary case study;10.2166/wrd.2024.081
Coastal management: Adaptation and resilience of coastal ecosystems to environmental change;10.1016/B978-0-323-90798-9.00067-6
How and why do economic operators comply with EU Law? Analysis of firm-level responses to the EU Timber Regulation in Germany;10.1111/jcms.13585
Bewertungsbericht zur Fördermaßnahme „Wegebau“ (ELER-Code 4.3) : Programm zur Förderung im ländlichen Raum 2014 bis 2022 in Niedersachsen und Bremen (PFEIL);10.3220/5LE1709188060000
Quo vadis, smallholder forest landscape? An introduction to the LPB-RAP model;10.1371/journal.pone.0297439
Fish age reading using deep learning methods for object-detection and segmentation;10.1093/icesjms/fsae020
Scientific Technical and Economic Committee for Fisheries (STECF) - Social data in fisheries (STECF 23-17);10.2760/982497
Scientific Technical and Economic Committee for Fisheries (STECF) - Economic report on the EU fish processing industry (STECF 23-14);10.2760/81639
Scientific Technical and Economic Committee for Fisheries (STECF) - Fisheries Dependent Information FDI (STECF 23-10);10.2760/676073
Bayesian analysis of biodiversity patterns via beam trawl versus video transect - a comparative case study of Svalbard rhodolith beds;10.1007/s10531-024-02788-y
The development of bio-based industry in the European Union: A prospective integrated modelling assessment;10.1016/j.ecolecon.2024.108156
Innovation and growth of a socialist economy: New evidence from revised data;10.1080/00128775.2024.2322949
PANABIO: a point-referenced PAN-Arctic data collection of benthic BIOtas;10.5194/essd-16-1177-2024
A wandering wedgefish illustrates the need for cooperative elasmobranch conservation in the Arabian Gulf;10.1007/s10641-024-01531-4
Die Gemeinsame Agrarpolitik der EU: Flaggschiff-Politik oder ewige Reformruine?;10.2478/wd-2024-0047
20 Years of Work on Marine Recreational Fisheries at the Thünen Institute of Baltic Sea Fisheries;10.3220/WP1710484687000
Medienberichterstattung über Nutztierhaltung: Wahrnehmungen und Bewertung in der deutschen Bevölkerung;10.1007/s00003-024-01481-0
